地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市留侯里,1187,794,787,7,66.89%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市流芳里,1166,791,778,13,67.84%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市赤松里,673,489,487,2,72.66%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市黃石里,1038,735,722,13,70.81%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市挹秀里,1477,1050,1043,7,71.09%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市湳興里,3760,2626,2597,29,69.84%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市新興里,2609,1664,1647,17,63.78%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市社後里,6571,3319,3289,30,50.51%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市香社里,3585,2408,2374,34,67.17%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市中正里,3587,2354,2334,20,65.63%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市自強里,4459,3184,3154,30,71.41%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市自立里,2406,1732,1706,26,71.99%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市光華里,2272,1596,1588,8,70.25%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市國光里,3327,2489,2473,16,74.81%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市港尾里,2180,1566,1552,14,71.83%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市金華里,3391,2278,2236,42,67.18%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市港德里,4126,2760,2723,37,66.89%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市民權里,2458,1756,1729,27,71.44%
臺北縣,3726039,2750960,6,6,--,1,1,--,1825261,1802072,23189,73.83%,66.35%,16.67%,臺北縣板橋市,403350,273267,269983,3284,67.75%,臺北縣板橋市建國里,3100,2193,2162,31,70.74%
