地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市神農里,564,387,381,6,68.62%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市民權里,1685,1092,1085,7,64.81%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市民生里,434,311,307,4,71.66%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市昇平里,661,505,502,3,76.4%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市大東里,548,415,411,4,75.73%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市新興里,548,372,368,4,67.88%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市和睦里,2053,1394,1377,17,67.9%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市進士里,4897,3395,3344,51,69.33%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市南橋里,661,526,521,5,79.58%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市建業里,1218,845,836,9,69.38%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市南津里,977,714,708,6,73.08%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市凱旋里,1193,848,838,10,71.08%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市黎明里,1409,1068,1056,12,75.8%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市東村里,4326,2948,2917,31,68.15%
宜蘭縣,461345,351858,2,2,--,1,1,--,248706,245863,2843,76.27%,70.68%,50%,宜蘭縣宜蘭市,70717,49486,48905,581,69.98%,宜蘭縣宜蘭市延平里,4837,3400,3363,37,70.29%
