地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市留侯里,1122,781,767,14,69.61%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市流芳里,1252,811,801,10,64.78%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市赤松里,655,462,457,5,70.53%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市黃石里,1055,722,715,7,68.44%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市挹秀里,1586,965,960,5,60.84%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市湳興里,3756,2603,2570,33,69.3%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市新興里,2533,1716,1694,22,67.75%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市社後里,4612,3213,3173,40,69.67%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市香社里,3394,2319,2293,26,68.33%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市中正里,3464,2390,2363,27,69%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市自強里,4412,3191,3161,30,72.33%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市自立里,2353,1720,1705,15,73.1%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市光華里,2186,1524,1514,10,69.72%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市國光里,3282,2471,2453,18,75.29%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市港尾里,1879,1363,1345,18,72.54%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市金華里,3281,2216,2186,30,67.54%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市港德里,4180,2772,2732,40,66.32%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市民權里,2415,1710,1695,15,70.81%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市建國里,3111,2197,2176,21,70.62%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市漢生里,3645,2625,2611,14,72.02%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市公館里,3125,2176,2148,28,69.63%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市新民里,3485,2385,2359,26,68.44%
臺北縣,3593315,2531827,4,4,--,1,1,--,1723524,1704188,19336,70.46%,68.07%,25%,臺北縣板橋市,375629,259050,256081,2969,68.96%,臺北縣板橋市幸福里,3288,2194,2171,23,66.73%
