地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區藍橋里,1282,1026,1017,9,80.03%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區慈愛里,353,274,271,3,77.62%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區博愛里,682,525,520,5,76.98%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區壽星里,1406,928,924,4,66%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區中山里,1097,798,789,9,72.74%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區教仁里,2144,1582,1567,15,73.79%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區新樂里,906,640,636,4,70.64%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區中原里,654,487,483,4,74.46%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區光明里,1321,856,845,11,64.8%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區育仁里,786,588,585,3,74.81%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區河濱里,1742,1292,1278,14,74.17%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區沙地里,798,522,519,3,65.41%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區南端里,1046,708,698,10,67.69%
高雄市,2772777,2166119,3,1,2,1,--,1,1570895,1555210,15685,78.12%,72.52%,33.33%,高雄市鹽埕區,22740,16344,16187,157,71.87%,高雄市鹽埕區港都里,1142,823,814,9,72.07%
