地區別," 人口數",選舉人數,候選組數,當選組數,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市,縣市_選舉人數,縣市_投票數,縣市_有效票數,縣市_無效票數,縣市_投票率,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市留侯里,1242,954,945,9,76%
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市流芳里,1295,996,994,2,76%
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市赤松里,568,451,448,3,79%
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市黃石里,1149,891,882,9,77%
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市挹秀里,1652,1254,1248,6,75%
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市湳興里,3927,2980,2948,32,75%
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市新興里,2495,1894,1875,19,75%
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市社後里,4476,3420,3386,34,76%
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市香社里,3104,2415,2388,27,77%
台澎金馬,21311885,14313288,4,1,10883279,10766119,117160,67.16%,76.04%,25%,臺北縣,2166016,1661034,1643960,17074,76%,臺北縣板橋市,339431,260056,257297,2759,76%,臺北縣板橋市中正里,3579,2689,2649,40,75%
