地區別," 人口數",選舉人數,候選組數,當選組數,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市,縣市_選舉人數,縣市_投票數,縣市_有效票數,縣市_無效票數,縣市_投票率,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市留侯里,1180,962,944,18,81.53%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市流芳里,1231,971,947,24,78.88%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市赤松里,662,540,528,12,81.57%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市黃石里,1017,835,815,20,82.1%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市挹秀里,1442,1165,1144,21,80.79%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市湳興里,3780,3098,2999,99,81.96%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市新興里,2537,2048,1999,49,80.73%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市社後里,5349,3976,3874,102,74.33%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市香社里,3562,2934,2868,66,82.37%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市中正里,3558,2904,2840,64,81.62%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市自強里,4486,3761,3685,76,83.84%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市自立里,2396,2012,1950,62,83.97%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市光華里,2268,1893,1852,41,83.47%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市國光里,3329,2848,2798,50,85.55%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市港尾里,2079,1785,1749,36,85.86%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市金華里,3379,2762,2682,80,81.74%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市港德里,4184,3405,3300,105,81.38%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市民權里,2482,2072,2023,49,83.48%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市建國里,3177,2625,2567,58,82.63%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市漢生里,3725,3099,3048,51,83.19%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市公館里,3178,2624,2554,70,82.57%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市新民里,3584,2902,2825,77,80.97%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市幸福里,3389,2804,2747,57,82.74%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市忠誠里,2332,1956,1929,27,83.88%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市百壽里,2080,1714,1679,35,82.4%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市介壽里,2549,2085,2034,51,81.8%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市新埔里,2013,1659,1614,45,82.41%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市華江里,4126,3441,3372,69,83.4%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市江翠里,3996,3257,3177,80,81.51%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市純翠里,4211,3504,3435,69,83.21%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市溪頭里,4880,3994,3899,95,81.84%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市聯翠里,3239,2669,2637,32,82.4%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市宏翠里,2642,2163,2103,60,81.87%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市仁翠里,2731,2195,2121,74,80.37%
台澎金馬,22573965,16507179,2,1,13251719,12914422,337297,73.12%,80.28%,50%,臺北縣,2685778,2183828,2130880,52948,81.31%,臺北縣板橋市,396206,324453,316926,7527,81.89%,臺北縣板橋市新翠里,6130,5043,4956,87,82.27%
