地區別," 人口數",選舉人數,候選組數,當選組數,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,縣市,縣市_選舉人數,縣市_投票數,縣市_有效票數,縣市_無效票數,縣市_投票率,鄉鎮,鄉鎮_選舉人數,鄉鎮_投票數,鄉鎮_有效票數,鄉鎮_無效票數,鄉鎮_投票率,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市留侯里,1138,945,931,14,83.04%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市流芳里,1259,1021,1013,8,81.1%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市赤松里,640,531,523,8,82.97%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市黃石里,1076,867,862,5,80.58%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市挹秀里,1462,1192,1181,11,81.53%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市湳興里,3767,3146,3118,28,83.51%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市新興里,2535,2113,2085,28,83.35%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市社後里,4528,3843,3808,35,84.87%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市香社里,3332,2847,2821,26,85.44%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市中正里,3483,2861,2821,40,82.14%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市自強里,4390,3723,3694,29,84.81%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市自立里,2306,1962,1942,20,85.08%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市光華里,2160,1813,1796,17,83.94%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市國光里,3251,2801,2782,19,86.16%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市港尾里,1783,1528,1511,17,85.7%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市金華里,3244,2733,2705,28,84.25%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市港德里,4134,3422,3386,36,82.78%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市民權里,2492,2112,2090,22,84.75%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市建國里,3094,2629,2604,25,84.97%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市漢生里,3604,3072,3045,27,85.24%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市公館里,3103,2669,2637,32,86.01%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市新民里,3424,2874,2847,27,83.94%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市幸福里,3276,2800,2772,28,85.47%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市忠誠里,2153,1858,1849,9,86.3%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市百壽里,1990,1702,1685,17,85.53%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市介壽里,2433,2070,2046,24,85.08%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市新埔里,2027,1706,1690,16,84.16%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市華江里,3397,2901,2875,26,85.4%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市江翠里,3795,3164,3137,27,83.37%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市純翠里,3804,3235,3201,34,85.04%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市溪頭里,4526,3814,3775,39,84.27%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市聯翠里,2018,1685,1664,21,83.5%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市宏翠里,2439,2060,2034,26,84.46%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市仁翠里,2576,2165,2139,26,84.05%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市新翠里,4960,4239,4198,41,85.46%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市吉翠里,2827,2399,2370,29,84.86%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市德翠里,3550,3003,2976,27,84.59%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市滿翠里,2632,2218,2200,18,84.27%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市明翠里,4044,3380,3350,30,83.58%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市松翠里,2807,2298,2279,19,81.87%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市柏翠里,2517,2130,2111,19,84.62%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市龍翠里,3101,2659,2625,34,85.75%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市華翠里,2607,2218,2193,25,85.08%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市忠翠里,5190,4494,4450,44,86.59%
台澎金馬,22134777,15462625,5,1,12786671,12664393,122278,69.86%,82.69%,20%,臺北縣,2437456,2041860,2019149,22711,83.77%,臺北縣板橋市,362415,305709,302309,3400,84.35%,臺北縣板橋市嵐翠里,2145,1799,1780,19,83.87%
