地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮選區,鄉鎮選區_人口數,鄉鎮選區_選舉人數,鄉鎮選區_候選人數_計,鄉鎮選區_候選人數_男,鄉鎮選區_候選人數_女,鄉鎮選區_當選人數_計,鄉鎮選區_當選人數_男,鄉鎮選區_當選人數_女,鄉鎮選區_投票數合計,鄉鎮選區_有效票數,鄉鎮選區_無效票數,鄉鎮選區_選舉人數對人口數,鄉鎮選區_投票數對選舉人數,鄉鎮選區_當選人數對候選人數,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市留侯里,1184,792,787,5,66.89%
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市流芳里,1165,791,779,12,67.9%
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市赤松里,672,488,483,5,72.62%
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市黃石里,1034,733,723,10,70.89%
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市挹秀里,1466,1042,1033,9,71.08%
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市湳興里,3740,2621,2581,40,70.08%
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市新興里,2592,1655,1631,24,63.85%
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市社後里,6561,3316,3279,37,50.54%
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市香社里,3575,2404,2366,38,67.24%
臺北縣,3726039,2735757,73,60,13,29,24,5,1817965,1775404,42561,73.42%,66.45%,39.73%,臺北縣板橋市,542235,401517,2,1,1,1,--,1,272304,267989,4315,74.05%,67.82%,50%,臺北縣板橋市中正里,3571,2350,2319,31,65.81%
