地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮選區,鄉鎮選區_人口數,鄉鎮選區_選舉人數,鄉鎮選區_候選人數_計,鄉鎮選區_候選人數_男,鄉鎮選區_候選人數_女,鄉鎮選區_當選人數_計,鄉鎮選區_當選人數_男,鄉鎮選區_當選人數_女,鄉鎮選區_投票數合計,鄉鎮選區_有效票數,鄉鎮選區_無效票數,鄉鎮選區_選舉人數對人口數,鄉鎮選區_投票數對選舉人數,鄉鎮選區_當選人數對候選人數,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市留侯里,1134,431,417,14,38.01%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市流芳里,1245,486,471,15,39.04%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市赤松里,649,296,286,10,45.61%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市黃石里,1051,441,433,8,41.96%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市挹秀里,1581,577,569,8,36.5%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市湳興里,3748,1606,1584,22,42.85%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市新興里,2530,974,949,25,38.5%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市社後里,4633,1844,1820,24,39.8%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市香社里,3386,1409,1389,20,41.61%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市中正里,3440,1332,1303,29,38.72%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市自強里,4392,1606,1582,24,36.57%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市自立里,2355,1086,1067,19,46.11%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市光華里,2183,905,892,13,41.46%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市國光里,3296,1500,1477,23,45.51%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市港尾里,1882,784,769,15,41.66%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市金華里,3272,1384,1358,26,42.3%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市港德里,4159,1573,1538,35,37.82%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市民權里,2424,1116,1103,13,46.04%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市建國里,3118,1267,1254,13,40.64%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市漢生里,3651,1533,1509,24,41.99%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市公館里,3105,1256,1233,23,40.45%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市新民里,3472,1472,1451,21,42.4%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市幸福里,3272,1217,1202,15,37.19%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市忠誠里,2250,887,874,13,39.42%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市百壽里,2011,859,849,10,42.72%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市介壽里,2495,1080,1058,22,43.29%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市新埔里,2009,917,894,23,45.64%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市華江里,3742,1522,1499,23,40.67%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市江翠里,3919,1589,1570,19,40.55%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市純翠里,4015,1449,1414,35,36.09%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市溪頭里,4628,1763,1729,34,38.09%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市聯翠里,2875,919,903,16,31.97%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市宏翠里,2528,1286,1256,30,50.87%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市仁翠里,2621,1259,1235,24,48.04%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市新翠里,5304,1905,1857,48,35.92%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市吉翠里,2911,1339,1313,26,46%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市德翠里,3894,1553,1534,19,39.88%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市滿翠里,2660,1068,1047,21,40.15%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市明翠里,4050,1679,1648,31,41.46%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市松翠里,2937,1162,1127,35,39.56%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市柏翠里,2813,1114,1080,34,39.6%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市龍翠里,3263,1234,1215,19,37.82%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市華翠里,2634,1026,1011,15,38.95%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市忠翠里,6046,2058,2027,31,34.04%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市嵐翠里,2172,850,829,21,39.13%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市文翠里,3366,1284,1269,15,38.15%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市青翠里,2522,854,838,16,33.86%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市懷翠里,4420,1600,1578,22,36.2%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市福翠里,1496,741,725,16,49.53%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市港嘴里,4302,1764,1741,23,41%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市振興里,3365,1393,1364,29,41.4%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市振義里,3333,1352,1340,12,40.56%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市光復里,2464,1011,996,15,41.03%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市埔墘里,4026,1693,1661,32,42.05%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市長壽里,2307,1087,1069,18,47.12%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市福壽里,2080,882,864,18,42.4%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市海山里,4711,1979,1935,44,42.01%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市九如里,2287,982,964,18,42.94%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市玉光里,3921,1829,1786,43,46.65%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市光仁里,2298,1082,1059,23,47.08%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市埤墘里,2934,1185,1166,19,40.39%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市永安里,2558,988,979,9,38.62%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市雙玉里,2861,1256,1232,24,43.9%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市廣新里,2869,1180,1152,28,41.13%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市深丘里,4211,1535,1516,19,36.45%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市香丘里,2823,1049,1025,24,37.16%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市西安里,2072,948,925,23,45.75%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市東丘里,3380,1371,1340,31,40.56%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市長安里,2835,1099,1080,19,38.77%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市福丘里,1588,647,639,8,40.74%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市福祿里,2781,1038,1018,20,37.32%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市民族里,2911,1143,1133,10,39.26%
臺北縣,3593315,2527329,90,78,12,29,26,3,1094594,1077075,17519,70.33%,43.31%,32.22%,臺北縣板橋市,531899,374974,2,2,--,1,1,--,151981,149101,2880,70.5%,40.53%,50%,臺北縣板橋市國泰里,2369,1030,1014,16,43.48%
