地區別," 人口數",選舉人數,候選人數_計,候選人數_男,候選人數_女,當選人數_計,當選人數_男,當選人數_女,投票數_合計,投票數_有效票數,投票數_無效票數,選舉人數對人口數,投票數對選舉人數,當選人數對候選人數,鄉鎮選區,鄉鎮選區_人口數,鄉鎮選區_選舉人數,鄉鎮選區_候選人數_計,鄉鎮選區_候選人數_男,鄉鎮選區_候選人數_女,鄉鎮選區_當選人數_計,鄉鎮選區_當選人數_男,鄉鎮選區_當選人數_女,鄉鎮選區_投票數合計,鄉鎮選區_有效票數,鄉鎮選區_無效票數,鄉鎮選區_選舉人數對人口數,鄉鎮選區_投票數對選舉人數,鄉鎮選區_當選人數對候選人數,里,里_選舉人數,里_投票數,里_有效票數,里_無效票數,里_投票率
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市神農里,561,386,378,8,68.81%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市民權里,1679,1088,1066,22,64.8%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市民生里,434,311,307,4,71.66%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市昇平里,661,505,502,3,76.4%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市大東里,548,415,404,11,75.73%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市新興里,548,372,363,9,67.88%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市和睦里,2044,1390,1360,30,68%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市進士里,4878,3389,3314,75,69.48%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市南橋里,658,525,518,7,79.79%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市建業里,1214,842,826,16,69.36%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市南津里,966,707,691,16,73.19%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市凱旋里,1190,846,832,14,71.09%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市黎明里,1406,1067,1044,23,75.89%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市東村里,4303,2935,2878,57,68.21%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市延平里,4802,3385,3317,68,70.49%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市七張里,1249,930,911,19,74.46%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市慈安里,4349,2859,2806,53,65.74%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市新民里,607,434,423,11,71.5%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市東門里,464,347,345,2,74.78%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市中正里,580,408,402,6,70.34%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市小東里,1236,900,884,16,72.82%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市菜園里,1269,883,872,11,69.58%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市孝廉里,966,701,692,9,72.57%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市新生里,2309,1632,1612,20,70.68%
宜蘭縣,461345,350082,27,22,5,12,10,2,247682,241883,5799,75.88%,70.75%,44.44%,宜蘭縣宜蘭市,95877,70396,2,2,--,1,1,--,49335,48344,991,73.42%,70.08%,50%,宜蘭縣宜蘭市茭白里,2140,1478,1451,27,69.07%
